"","Name","Sex","Age","Height","Weight","bmi","Year","Nationality","SubRegion","continent","Population","GDP","countryWins","subRegionWins","HomeAdvantage","Position","Medal","Time","TimeMins","TimeSecs"
"53","Zhang Shujing","F",29,163,52,19.5716812826979,2008,"China","Eastern Asia","Asia",1324655000,4.59821e+12,1,3,TRUE,41,FALSE,"2:35:35",155.583333333333,9335
"54","Zhu Xiaolin","F",28,168,50,17.7154195011338,2012,"China","Eastern Asia","Asia",1350695000,8.56055e+12,1,3,FALSE,6,FALSE,"2:24:48",144.8,8688
"55","Zhou Chunxiu","F",25,162,45,17.1467764060357,2004,"China","Eastern Asia","Asia",1296075000,1.95535e+12,1,3,FALSE,33,FALSE,"2:42:54",162.9,9774
"56","Wang Jiali","F",26,160,50,19.53125,2012,"China","Eastern Asia","Asia",1350695000,8.56055e+12,1,3,FALSE,58,FALSE,"2:35:46",155.766666666667,9346
"57","Angie Orjuela Soche","F",27,158,46,18.4265342092613,2016,"Colombia","Latin America and the Caribbean","Latin America and the Caribbean",48653419,2.82463e+11,0,0,FALSE,43,FALSE,"2:37:05",157.083333333333,9425
"58","Annemette Jensen","F",32,163,52,19.5716812826979,2004,"Denmark","Northern Europe","Europe",5404523,2.51373e+11,0,0,FALSE,49,FALSE,"2:50:01",170.016666666667,10201
"59","Anne Sofie Holm Baumeister (Jrgensen-)","F",28,168,54,19.1326530612245,2016,"Denmark","Northern Europe","Europe",5731118,3.069e+11,0,0,FALSE,55,FALSE,"2:39:49",159.816666666667,9589
"60","Jessica Margaret Aida ""Jess"" Draskau-Petersson","F",34,170,62,21.4532871972318,2012,"Denmark","Northern Europe","Europe",5591572,3.27149e+11,0,0,FALSE,40,FALSE,"2:31:43",151.716666666667,9103
"61","Jessica Margaret Aida ""Jess"" Draskau-Petersson","F",38,170,62,21.4532871972318,2016,"Denmark","Northern Europe","Europe",5731118,3.069e+11,0,0,FALSE,40,FALSE,"2:36:14",156.233333333333,9374
"62","Sandra de las Mercedes Ruales Mosquera","F",34,161,53,20.4467420238417,2008,"Ecuador","Latin America and the Caribbean","Latin America and the Caribbean",14447562,61762635000,0,0,FALSE,43,FALSE,"2:35:53",155.883333333333,9353
"63","Mara Elena Calle Galarza","F",41,162,54,20.5761316872428,2016,"Ecuador","Latin America and the Caribbean","Latin America and the Caribbean",16385068,98613972000,0,0,FALSE,99,FALSE,"2:48:39",168.65,10119
"64","Silvia Paredes Yucailla","F",33,164,57,21.192742415229,2016,"Ecuador","Latin America and the Caribbean","Latin America and the Caribbean",16385068,98613972000,0,0,FALSE,95,FALSE,"2:48:01",168.016666666667,10081
"65","Rosa Alba Chacha Chacha","F",33,155,48,19.9791883454735,2016,"Ecuador","Latin America and the Caribbean","Latin America and the Caribbean",16385068,98613972000,0,0,FALSE,100,FALSE,"2:48:52",168.866666666667,10132
"66","Sandra de las Mercedes Ruales Mosquera","F",30,161,53,20.4467420238417,2004,"Ecuador","Latin America and the Caribbean","Latin America and the Caribbean",13509647,36591661000,0,0,FALSE,36,FALSE,"2:44:28",164.466666666667,9868
"67","Rosa Alba Chacha Chacha","F",29,155,48,19.9791883454735,2012,"Ecuador","Latin America and the Caribbean","Latin America and the Caribbean",15419666,87924544000,0,0,FALSE,83,FALSE,"2:40:57",160.95,9657
"68","Martha Tenorio Pancar","F",34,154,50,21.0828132906055,2000,"Ecuador","Latin America and the Caribbean","Latin America and the Caribbean",12628596,18327764882,0,0,FALSE,25,FALSE,"2:33:54",153.9,9234
"69","Ana Isabel Alonso Nieto","F",32,152,46,19.909972299169,1996,"Spain","Southern Europe","Europe",39889852,6.40998e+11,0,1,FALSE,49,FALSE,"2:44:12",164.2,9852
"70","Mara Elena Espeso Gayte","F",39,161,48,18.5178040970642,2012,"Spain","Southern Europe","Europe",46773055,1.33602e+12,0,1,FALSE,61,FALSE,"2:36:12",156.2,9372
"71","Alessandra Aguilar Morn","F",34,165,50,18.3654729109275,2012,"Spain","Southern Europe","Europe",46773055,1.33602e+12,0,1,FALSE,26,FALSE,"2:29:19",149.316666666667,8959
"72","Ana Isabel Alonso Nieto","F",37,152,46,19.909972299169,2000,"Spain","Southern Europe","Europe",40567864,5.95403e+11,0,1,FALSE,30,FALSE,"2:36:45",156.75,9405
