"","Name","Sex","Age","Height","Weight","bmi","Year","Nationality","SubRegion","continent","Population","GDP","countryWins","subRegionWins","HomeAdvantage","marathons","Gmarathons","Smarathons","Bmarathons","avgTime","bestTime","avgTimeScore","bestTimeScore","avgPosition","bestPosition","avgPositionScore","bestPositionScore","avgPerformanceScore","bestPerformanceScore","monthsBestTime","Position","Medal","Time","TimeMins","TimeSecs"
"78","Tirfi Tsegaye Beyene","F",31,162,52,19.8140527358634,2016,"Ethiopia","Sub-Saharan Africa","Africa",102403196,72374224249,2,5,FALSE,8,6,1,1,144.3625,139.683333333333,920.625,995,1,1,270,270,1190.625,1265,7,4,FALSE,"2:24:47",144.783333333333,8687
"79","Elfenesh Alemu","F",25,165,51,18.732782369146,2000,"Ethiopia","Sub-Saharan Africa","Africa",66537331,8242392104,2,5,FALSE,5,0,3,0,151.61,144.783333333333,808.8,912,1.6,1,240,270,1048.8,1132,7,6,FALSE,"2:26:54",146.9,8814
"80","Dire Tune Arissi","F",23,158,42,16.8242268867169,2008,"Ethiopia","Sub-Saharan Africa","Africa",83184892,27066912635,2,5,FALSE,4,0,0,3,149.391666666667,144.65,841.5,914,1,1,270,270,1111.5,1184,7,15,FALSE,"2:31:16",151.266666666667,9076
"81","Gadissie Edato","F",27,156,43,17.6692965154504,2000,"Ethiopia","Sub-Saharan Africa","Africa",66537331,8242392104,2,5,FALSE,5,0,0,0,155.353333333333,149.95,753.4,832,1.2,1,260,270,1013.4,1102,10,36,FALSE,"2:42:29",162.483333333333,9749
"82","Erba Tiki Gelana","F",24,165,48,17.6308539944904,2012,"Ethiopia","Sub-Saharan Africa","Africa",92444183,43310721414,2,5,FALSE,4,0,2,0,146.091666666667,138.966666666667,894.25,1007,1.5,1,245,270,1139.25,1277,4,1,TRUE,"2:23:07",143.116666666667,8587
"83","Aselefech Mergia","F",27,168,50,17.7154195011338,2012,"Ethiopia","Sub-Saharan Africa","Africa",92444183,43310721414,2,5,FALSE,4,4,0,0,142.483333333333,139.516666666667,949.25,997,1,1,270,270,1219.25,1267,7,42,FALSE,"2:32:03",152.05,9123
"84","Mare Dibaba Hurssa (-Ibrahimova-)","F",22,156,45,18.491124260355,2012,"Ethiopia","Sub-Saharan Africa","Africa",92444183,43310721414,2,5,FALSE,3,1,2,0,142.911111111111,139.866666666667,942.666666666667,992,2,1,228.333333333333,270,1171,1212,7,23,FALSE,"2:28:48",148.8,8928
"85","Mare Dibaba Hurssa (-Ibrahimova-)","F",26,156,45,18.491124260355,2016,"Ethiopia","Sub-Saharan Africa","Africa",102403196,72374224249,2,5,FALSE,6,4,2,0,142.391666666667,139.866666666667,950.833333333333,992,1.83333333333333,1,236.666666666667,270,1187.5,1262,19,3,TRUE,"2:24:30",144.5,8670
"86","Elfenesh Alemu","F",29,165,51,18.732782369146,2004,"Ethiopia","Sub-Saharan Africa","Africa",74624405,10131187261,2,5,FALSE,8,1,5,0,149.604166666667,144.483333333333,839,917,1.625,1,238.75,270,1077.75,1182,40,4,FALSE,"2:28:15",148.25,8895
"87","Sinikka Marja-Liisa Keskitalo (Leppl-)","F",37,153,46,19.6505617497544,1988,"Finland","Northern Europe","Europe",4946481,1.09103e+11,0,0,FALSE,6,1,0,0,155.858333333333,153.3,745.833333333333,782,1.5,1,249.166666666667,270,995,1045,28,42,FALSE,"2:43:00",163,9780
"88","Leena Puotiniemi","F",36,170,52,17.9930795847751,2012,"Finland","Northern Europe","Europe",5413971,2.56706e+11,0,0,FALSE,3,3,0,0,164.911111111111,155.9,625,745,5,3,165,195,790,870,11,87,FALSE,"2:42:01",162.016666666667,9721
"89","Christelle Daunay","F",33,162,43,16.3846974546563,2008,"France","Western Europe","Europe",64374990,2.92347e+12,0,0,FALSE,2,1,1,0,148.65,148.4,852,856,1,1,270,270,1122,1126,7,20,FALSE,"2:31:48",151.8,9108
"90","Jocelyne Villeton (Tranchant-)","F",34,170,55,19.0311418685121,1988,"France","Western Europe","Europe",57836486,1.0235e+12,0,0,FALSE,3,1,0,0,153.422222222222,152.05,780.666666666667,801,1.33333333333333,1,253.333333333333,270,1034,1071,9,19,FALSE,"2:34:02",154.033333333333,9242
"91","Corinne Raux","F",27,164,50,18.5901249256395,2004,"France","Western Europe","Europe",62704897,2.12411e+12,0,0,FALSE,1,1,0,0,149.316666666667,149.316666666667,842,842,2,2,220,220,1062,1062,4,15,FALSE,"2:35:54",155.9,9354
