"","Name","Sex","Age","Height","Weight","bmi","Year","Nationality","SubRegion","continent","Population","GDP","countryWins","subRegionWins","HomeAdvantage","Position","Medal","Time","TimeMins","TimeSecs"
"91","Hem Bunting","M",22,167,63,22.5895514360501,2008,"Cambodia","South-eastern Asia","Asia",13880509,10351914093,0,0,FALSE,73,FALSE,"2:33:32",153.533333333333,9212
"92","To Rithya","M",32,164,54,20.0773349196907,2000,"Cambodia","South-eastern Asia","Asia",12152354,3654031716,0,0,FALSE,80,FALSE,"3:03:56",183.933333333333,11036
"93","To Rithya","M",28,164,54,20.0773349196907,1996,"Cambodia","South-eastern Asia","Asia",10980273,3506695720,0,0,FALSE,105,FALSE,"2:47:10",167.166666666667,10030
"94","Peter Kevin Maher","M",28,195,79,20.77580539119,1988,"Canada","Northern America","Northern America",26895000,5.07354e+11,0,4,FALSE,46,FALSE,"2:24:49",144.816666666667,8689
"95","Eric Gillis","M",32,172,58,19.6051919956733,2012,"Canada","Northern America","Northern America",34750545,1.82429e+12,0,4,FALSE,22,FALSE,"2:16:00",136,8160
"96","Bruce William Deacon","M",33,166,56,20.3222528668892,2000,"Canada","Northern America","Northern America",30769700,7.42293e+11,0,4,FALSE,44,FALSE,"2:21:38",141.633333333333,8498
"97","Reid Coolsaet","M",32,173,62,20.7156938086805,2012,"Canada","Northern America","Northern America",34750545,1.82429e+12,0,4,FALSE,27,FALSE,"2:16:29",136.483333333333,8189
"98","David ""Dave"" Edge","M",33,170,55,19.0311418685121,1988,"Canada","Northern America","Northern America",26895000,5.07354e+11,0,4,FALSE,67,FALSE,"2:32:19",152.316666666667,9139
"99","Carey Michael Nelson","M",33,179,64,19.974407790019,1996,"Canada","Northern America","Northern America",29671900,6.28546e+11,0,4,FALSE,35,FALSE,"2:19:39",139.65,8379
"100","Dylan Wykes","M",29,187,68,19.4457948468644,2012,"Canada","Northern America","Northern America",34750545,1.82429e+12,0,4,FALSE,20,FALSE,"2:15:26",135.433333333333,8126
"101","Reid Coolsaet","M",37,173,62,20.7156938086805,2016,"Canada","Northern America","Northern America",36286425,1.52976e+12,0,4,FALSE,23,FALSE,"2:14:58",134.966666666667,8098
"102","Bruce William Deacon","M",29,166,56,20.3222528668892,1996,"Canada","Northern America","Northern America",29671900,6.28546e+11,0,4,FALSE,39,FALSE,"2:19:56",139.933333333333,8396
"103","Eric Gillis","M",36,172,58,19.6051919956733,2016,"Canada","Northern America","Northern America",36286425,1.52976e+12,0,4,FALSE,10,FALSE,"2:12:29",132.483333333333,7949
"104","Gordon E. ""Gord"" Dickson","M",28,175,54,17.6326530612245,1960,"Canada","Northern America","Northern America",17909009,41093453545,0,4,FALSE,55,FALSE,"2:38:46.0",158.766666666667,9526
"105","Wayne Yetman","M",29,172,64,21.6333153055706,1976,"Canada","Northern America","Northern America",23518000,2.06576e+11,0,4,TRUE,36,FALSE,"2:24:17",144.283333333333,8657
"106","Jerome Drayton","M",31,175,57,18.6122448979592,1976,"Canada","Northern America","Northern America",23518000,2.06576e+11,0,4,TRUE,6,FALSE,"2:13:30",133.5,8010
"107","Peter Joseph Fonseca","M",29,172,55,18.5911303407247,1996,"Canada","Northern America","Northern America",29671900,6.28546e+11,0,4,FALSE,21,FALSE,"2:17:28",137.466666666667,8248
"108","Alain Bordeleau","M",27,177,63,20.1091640333238,1984,"Canada","Northern America","Northern America",25702000,3.55373e+11,0,4,FALSE,65,FALSE,"2:34:27",154.45,9267
"109","Jaime Enrique Ojeda Paredes","M",28,169,56,19.6071566121634,1992,"Chile","Latin America and the Caribbean","Latin America and the Caribbean",13671033,45964327559,0,1,FALSE,62,FALSE,"2:28:39",148.65,8919
"110","Marcelo Barrientos Cardenas","M",26,173,60,20.0474456213038,1996,"Chile","Latin America and the Caribbean","Latin America and the Caribbean",14497826,78039572222,0,1,FALSE,86,FALSE,"2:31:05",151.083333333333,9065
"111","Ricardo Vidal","M",34,183,71,21.2009913703007,1964,"Chile","Latin America and the Caribbean","Latin America and the Caribbean",8430838,5982347826,0,1,FALSE,30,FALSE,"2:28:01.6",148.016666666667,8881
"112","Daniel Estrada Coz","M",26,173,61,20.3815697149921,2016,"Chile","Latin America and the Caribbean","Latin America and the Caribbean",17909754,2.47028e+11,0,1,FALSE,98,FALSE,"2:25:33",145.55,8733
"113","Juan Silva","M",30,167,58,20.7967298935064,1960,"Chile","Latin America and the Caribbean","Latin America and the Caribbean",7716625,4.11e+09,0,1,FALSE,33,FALSE,"2:31:18",151.3,9078
"114","Li Zhuhong","M",20,173,60,20.0474456213038,2004,"China","Eastern Asia","Asia",1296075000,1.95535e+12,0,4,FALSE,31,FALSE,"2:19:26",139.433333333333,8366
"115","Zhu Renxue","M",25,170,50,17.3010380622837,2016,"China","Eastern Asia","Asia",1378665000,1.11991e+13,0,4,FALSE,96,FALSE,"2:25:31",145.516666666667,8731
"116","Li Zhuhong","M",24,173,60,20.0474456213038,2008,"China","Eastern Asia","Asia",1324655000,4.59821e+12,0,4,TRUE,51,FALSE,"2:24:08",144.133333333333,8648
"117","Dong Guojian","M",25,170,55,19.0311418685121,2012,"China","Eastern Asia","Asia",1350695000,8.56055e+12,0,4,FALSE,54,FALSE,"2:20:39",140.65,8439
"118","Zhang Guowei","M",29,168,54,19.1326530612245,1988,"China","Eastern Asia","Asia",1101630000,3.12354e+11,0,4,FALSE,38,FALSE,"2:22:49",142.816666666667,8569
"119","Duo Bujie","M",22,175,55,17.9591836734694,2016,"China","Eastern Asia","Asia",1378665000,1.11991e+13,0,4,FALSE,91,FALSE,"2:24:22",144.366666666667,8662
"120","Dong Guojian","M",29,170,55,19.0311418685121,2016,"China","Eastern Asia","Asia",1378665000,1.11991e+13,0,4,FALSE,29,FALSE,"2:15:32",135.533333333333,8132
"121","Zhu Ronghua","M",30,170,65,22.4913494809689,2004,"China","Eastern Asia","Asia",1296075000,1.95535e+12,0,4,FALSE,76,FALSE,"2:34:02",154.033333333333,9242
"122","Deng Haiyang","M",23,170,65,22.4913494809689,2008,"China","Eastern Asia","Asia",1324655000,4.59821e+12,0,4,TRUE,25,FALSE,"2:16:17",136.283333333333,8177
"123","Cai Shangyan","M",25,168,51,18.0697278911565,1988,"China","Eastern Asia","Asia",1101630000,3.12354e+11,0,4,FALSE,26,FALSE,"2:17:54",137.9,8274
"124","Willy Mwenze Kalombo","M",28,176,63,20.338326446281,1996,"Democratic Republic of the Congo","Sub-Saharan Africa","Africa",42770544,5771454940,0,13,FALSE,16,FALSE,"2:17:01",137.016666666667,8221
"125","Kaleka Mutoke","M",30,176,65,20.9839876033058,1996,"Democratic Republic of the Congo","Sub-Saharan Africa","Africa",42770544,5771454940,0,13,FALSE,96,FALSE,"2:34:40",154.666666666667,9280
"126","Kaleka Mutoke","M",22,176,65,20.9839876033058,1988,"Democratic Republic of the Congo","Sub-Saharan Africa","Africa",32444156,8861299977,0,13,FALSE,89,FALSE,"2:55:21",175.35,10521
"127","Juan Carlos Cardona Rivas","M",38,165,60,22.038567493113,2012,"Colombia","Latin America and the Caribbean","Latin America and the Caribbean",46881475,3.6966e+11,0,1,FALSE,83,FALSE,"2:40:13",160.216666666667,9613
"128","Luis Barbosa","M",27,159,56,22.1510225070211,1980,"Colombia","Latin America and the Caribbean","Latin America and the Caribbean",27737900,33400735644,0,1,FALSE,34,FALSE,"2:22:58",142.966666666667,8578
"129","Juan Carlos Cardona Rivas","M",34,165,60,22.038567493113,2008,"Colombia","Latin America and the Caribbean","Latin America and the Caribbean",44901544,2.43982e+11,0,1,FALSE,43,FALSE,"2:21:57",141.95,8517
"130","Juan Carlos Cardona Rivas","M",30,165,60,22.038567493113,2004,"Colombia","Latin America and the Caribbean","Latin America and the Caribbean",42724163,1.17075e+11,0,1,FALSE,51,FALSE,"2:22:49",142.816666666667,8569
"131","Pedro Elias Ortiz","M",32,169,63,22.0580511886839,1988,"Colombia","Latin America and the Caribbean","Latin America and the Caribbean",32975535,39212550050,0,1,FALSE,39,FALSE,"2:23:34",143.566666666667,8614
