"","Name","Sex","Age","Height","Weight","bmi","Year","Nationality","SubRegion","continent","Population","GDP","countryWins","subRegionWins","HomeAdvantage","marathons","Gmarathons","Smarathons","Bmarathons","avgTime","bestTime","avgTimeScore","bestTimeScore","avgPosition","bestPosition","avgPositionScore","bestPositionScore","avgPerformanceScore","bestPerformanceScore","monthsBestTime","Position","Medal","Time","TimeMins","TimeSecs"
"344","Henryk Jzef Szost","M",26,186,70,20.2335530119089,2008,"Poland","Eastern Europe","Europe",38125759,5.33816e+11,0,0,FALSE,2,0,0,0,133.966666666667,131.983333333333,1091.5,1126,1,1,270,270,1361.5,1396,4,34,FALSE,"2:19:43",139.716666666667,8383
"345","Henryk Jzef Szost","M",30,186,70,20.2335530119089,2012,"Poland","Eastern Europe","Europe",38063164,5.00284e+11,0,0,FALSE,5,0,1,0,131.136666666667,127.65,1141.6,1204,1.2,1,260,270,1401.6,1474,5,9,FALSE,"2:12:28",132.466666666667,7948
"346","Dionsio da Silva Castro","M",28,167,56,20.0796012764889,1992,"Portugal","Southern Europe","Europe",9952494,1.07603e+11,1,3,FALSE,1,0,1,0,131.9,131.9,1128,1128,3,3,195,195,1323,1323,4,56,FALSE,"2:26:00",146,8760
"347","Rui Pedro S Alves da Silva","M",35,173,60,20.0474456213038,2016,"Portugal","Southern Europe","Europe",10324611,2.04837e+11,1,3,FALSE,4,0,1,2,133.420833333333,132.25,1101.25,1122,1.25,1,257.5,270,1358.75,1392,52,123,FALSE,"2:30:52",150.866666666667,9052
"348","Anacleto Pereira Pinto","M",32,172,63,21.295294753921,1980,"Portugal","Southern Europe","Europe",9766312,32899759311,1,3,FALSE,2,0,0,0,135.033333333333,134.616666666667,1073,1080,1,1,270,270,1343,1350,53,16,FALSE,"2:17:04",137.066666666667,8224
"349","Domingos da Silva Castro","M",32,167,56,20.0796012764889,1996,"Portugal","Southern Europe","Europe",10063945,1.2263e+11,1,3,FALSE,2,2,0,0,130.65,130.1,1150,1160,1,1,270,270,1420,1430,16,25,FALSE,"2:18:03",138.05,8283
"350","Antnio Coelho Pinto","M",30,165,59,21.6712580348944,1996,"Portugal","Southern Europe","Europe",10063945,1.2263e+11,1,3,FALSE,5,3,1,0,129.726666666667,128.516666666667,1166.6,1188,1.8,1,241,270,1407.6,1458,23,14,FALSE,"2:16:41",136.683333333333,8201
"351","Antnio Coelho Pinto","M",34,165,59,21.6712580348944,2000,"Portugal","Southern Europe","Europe",10289898,1.18358e+11,1,3,FALSE,9,7,1,0,128.92962962963,126.6,1180.77777777778,1223,1.44444444444444,1,253.888888888889,270,1434.66666666667,1493,4,11,FALSE,"2:15:17",135.283333333333,8117
"352","Armando Rodrigues Aldegalega","M",34,161,53,20.4467420238417,1972,"Portugal","Southern Europe","Europe",8630430,11240223128,1,3,FALSE,2,0,1,0,149.041666666667,140.033333333333,851.5,989,12,5,91,155,942.5,1144,12,41,FALSE,"2:28:24",148.4,8904
"353","Anacleto Pereira Pinto","M",28,172,63,21.295294753921,1976,"Portugal","Southern Europe","Europe",9355810,20334835544,1,3,FALSE,1,0,0,0,134.616666666667,134.616666666667,1080,1080,1,1,270,270,1350,1350,5,22,FALSE,"2:18:53",138.883333333333,8333
