Name,Performance,Place,Date
Callum HAWKINS,2:12:17,Frankfurt (GER),25 OCT 2015
Felix Kipchirchir KANDIE,2:08:07,Berlin (GER),29 SEP 2019
Felix Kipchirchir KANDIE,2:08:30,Toronto (CAN),21 OCT 2018
Felix Kipchirchir KANDIE,2:06:03,Seoul (KOR),19 MAR 2017
Felix Kipchirchir KANDIE,2:06:25,Amsterdam (NED),16 OCT 2016
Felix Kipchirchir KANDIE,2:07:07,Valencia (ESP),15 NOV 2015
Felix Kipchirchir KANDIE,2:17:59,Meru (KEN),29 SEP 2013
Felix Kipchirchir KANDIE,2:16:12,Sydney (AUS),16 SEP 2012
Felix Kipchirchir KANDIE,2:34:00,Kigali (RWA),23 MAY 2010
Felix Kipchirchir KANDIE,2:18:31,Nairobi (KEN),25 OCT 2009
Titus EKIRU,2:04:46,Milano (ITA),07 APR 2019
Titus EKIRU,2:09:01,"Honolulu, HI (USA)",09 DEC 2018
Titus EKIRU,2:07:43,Sevilla (ESP),19 FEB 2017
Titus EKIRU,2:15:43,Casablanca (MAR),30 OCT 2016
Tesfa WOKNETH,2:06:27,Sevilla (ESP),23 FEB 2020
Tesfa WOKNETH,2:09:17,Roma (ITA),07 APR 2019
