athlete,year,performance,place,date
Kenza Tifahi Dahmani,2019,2:50:04,Casablanca (MAR),06 OCT 2019
Kenza Tifahi Dahmani,2018,2:46:03,Tunis (TUN),02 DEC 2018
Kenza Tifahi Dahmani,2017,2:33:21,Łódź (POL),23 APR 2017
Kenza Tifahi Dahmani,2016,2:33:53,Roma (ITA),10 APR 2016
Kenza Tifahi Dahmani,2015,2:39:21,Toulouse (FRA),25 OCT 2015
Kenza Tifahi Dahmani,2013,2:48:25,Toulouse (FRA),27 OCT 2013
Kenza Tifahi Dahmani,2009,2:40:29,Toulouse (FRA),25 OCT 2009
Kenza Tifahi Dahmani,2008,2:39:38,Madrid (ESP),27 APR 2008
Souad At Salem (-Mahour-Bacha),2015,2:27:21,Hannover (GER),19 APR 2015
Souad At Salem (-Mahour-Bacha),2014,2:33:09,Hannover (GER),27 APR 2014
Souad At Salem (-Mahour-Bacha),2012,2:27:21,Praha (CZE),13 MAY 2012
Souad At Salem (-Mahour-Bacha),2008,2:27:41,London (GBR),13 APR 2008
Souad At Salem (-Mahour-Bacha),2007,2:25:08,Roma (ITA),18 MAR 2007
Sandra Edith Torres lvarez,2008,2:48:04,Buenos Aires (ARG),12 OCT 2008
Sandra Edith Torres lvarez,2006,2:49:04,Buenos Aires (ARG),29 OCT 2006
Sandra Edith Torres lvarez,2005,2:39:01,San Sebastián (ESP),27 NOV 2005
Sandra Edith Torres lvarez,2004,2:40:23,Buenos Aires (ARG),11 APR 2004
Sandra Edith Torres lvarez,2001,2:51:11,Buenos Aires (ARG),30 SEP 2001
Rosa Liliana Godoy,2017,2:49:30,"Olympic Stadium, London (GBR)",06 AUG 2017
Rosa Liliana Godoy,2016,2:38:36,Rotterdam (NED),10 APR 2016
Rosa Liliana Godoy,2015,2:39:28,Valencia (ESP),15 NOV 2015
Rosa Liliana Godoy,2014,2:44:04,Buenos Aires (ARG),12 OCT 2014
Rosa Liliana Godoy,2013,2:48:59,Wien (AUT),14 APR 2013
Rosa Liliana Godoy,2012,2:56:53,Rotterdam (NED),15 APR 2012
Kerryn Anne McCann (Hindmarsh-),2006,2:30:54,Melbourne (AUS),19 MAR 2006
Kerryn Anne McCann (Hindmarsh-),2005,2:39:35,Tokyo (JPN),20 NOV 2005
Kerryn Anne McCann (Hindmarsh-),2004,2:41:41,"Olympic Stadium, Athina (GRE)",22 AUG 2004
Kerryn Anne McCann (Hindmarsh-),2002,2:28:30,Osaka (JPN),27 JAN 2002
Kerryn Anne McCann (Hindmarsh-),2001,2:26:04,"Chicago, IL (USA)",07 OCT 2001
Kerryn Anne McCann (Hindmarsh-),2000,2:25:59,London (GBR),16 APR 2000
Kerryn Anne McCann (Hindmarsh-),1999,2:28:44,London (GBR),18 APR 1999
Kerryn Anne McCann (Hindmarsh-),1996,2:36:41,"Olympic Stadium, Atlanta, GA (USA)",28 JUL 1996
Kerryn Anne McCann (Hindmarsh-),1995,2:33:23,London (GBR),02 APR 1995
Kerryn Anne McCann (Hindmarsh-),1994,2:34:08,Osaka (JPN),30 JAN 1994
Kate Smyth (Harris-),2010,2:39:27,Nagano (JPN),18 APR 2010
Kate Smyth (Harris-),2008,2:28:51,Nagano (JPN),20 APR 2008
Kate Smyth (Harris-),2006,2:33:39,"Chicago, IL (USA)",22 OCT 2006
Kate Smyth (Harris-),2005,2:33:42,"Chicago, IL (USA)",09 OCT 2005
Kate Smyth (Harris-),2004,2:39:40,Nagoya (JPN),14 MAR 2004
Kate Smyth (Harris-),2003,2:45:32,Rotterdam (NED),13 APR 2003
Jessica Trengove,2018,2:25:59,Toronto (CAN),21 OCT 2018
Jessica Trengove,2017,2:27:01,London (GBR),23 APR 2017
Jessica Trengove,2016,2:31:44,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016
Jessica Trengove,2015,2:27:45,Melbourne (AUS),18 OCT 2015
Jessica Trengove,2014,2:30:12,"Hampden Park, Glasgow (GBR)",27 JUL 2014
Jessica Trengove,2013,2:37:11,"Luzhniki, Moskva (RUS)",10 AUG 2013
Jessica Trengove,2012,2:31:02,Nagoya (JPN),11 MAR 2012
Lisa Jane Weightman,2020,2:26:02,Osaka (JPN),26 JAN 2020
Lisa Jane Weightman,2019,2:29:45,"Chicago, IL (USA)",13 OCT 2019
Lisa Jane Weightman,2018,2:29:11,"New York, NY (USA)",04 NOV 2018
Lisa Jane Weightman,2017,2:25:15,London (GBR),23 APR 2017
Lisa Jane Weightman,2016,2:27:35,"Houston, TX (USA)",17 JAN 2016
Lisa Jane Weightman,2013,2:26:05,Melbourne (AUS),13 OCT 2013
Lisa Jane Weightman,2012,2:27:32,"Olympic Stadium, London (GBR)",05 AUG 2012
Lisa Jane Weightman,2011,2:29:23,Frankfurt (GER),30 OCT 2011
Lisa Jane Weightman,2010,2:28:48,Nagano (JPN),18 APR 2010
Lisa Jane Weightman,2009,2:30:42,"Olympiastadion, Berlin (GER)",23 AUG 2009
Lisa Jane Weightman,2008,2:32:32,London (GBR),13 APR 2008
"Susan Elizabeth ""Sue"" Hobson",2001,2:49:29,Tokyo (JPN),18 NOV 2001
"Susan Elizabeth ""Sue"" Hobson",2000,2:32:37,Osaka (JPN),30 JAN 2000
"Susan Elizabeth ""Sue"" Hobson",1999,2:33:28,Melbourne (AUS),10 OCT 1999
"Susan Elizabeth ""Sue"" Hobson",1997,2:32:43,Brisbane (AUS),13 JUL 1997
"Susan Elizabeth ""Sue"" Hobson",1994,2:32:57,Canberra (AUS),10 APR 1994
Eva-Maria Gradwohl (Wilfing-),2009,2:35:41,Firenze (ITA),29 NOV 2009
Eva-Maria Gradwohl (Wilfing-),2008,2:30:51,Linz (AUT),13 APR 2008
Eva-Maria Gradwohl (Wilfing-),2007,2:36:21,Berlin (GER),30 SEP 2007
Eva-Maria Gradwohl (Wilfing-),2006,2:37:32,Graz (AUT),15 OCT 2006
Eva-Maria Gradwohl (Wilfing-),2005,2:39:44,Wien (AUT),22 MAY 2005
Eva-Maria Gradwohl (Wilfing-),2004,2:38:04,Wien (AUT),16 MAY 2004
Eva-Maria Gradwohl (Wilfing-),2003,2:39:48,Wien (AUT),25 MAY 2003
Eva-Maria Gradwohl (Wilfing-),2002,2:40:39,Graz (AUT),06 OCT 2002
Eva-Maria Gradwohl (Wilfing-),2000,2:46:44,Wien (AUT),21 MAY 2000
Eva-Maria Gradwohl (Wilfing-),1999,2:50:56,Graz (AUT),17 OCT 1999
Andrea Mayr,2016,2:41:52,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016
Andrea Mayr,2015,2:33:28,Frankfurt (GER),25 OCT 2015
Andrea Mayr,2012,2:34:51,"Olympic Stadium, London (GBR)",05 AUG 2012
Andrea Mayr,2011,2:32:33,Frankfurt (GER),30 OCT 2011
Andrea Mayr,2010,2:34:09,Wien (AUT),18 APR 2010
Andrea Mayr,2009,2:30:43,Wien (AUT),19 APR 2009
Eunice Jepkirui Kirwa,2017,2:21:17,Nagoya (JPN),12 MAR 2017
Eunice Jepkirui Kirwa,2016,2:22:40,Nagoya (JPN),13 MAR 2016
Eunice Jepkirui Kirwa,2015,2:22:08,Nagoya (JPN),08 MAR 2015
Eunice Jepkirui Kirwa,2014,2:25:37,Incheon (KOR),02 OCT 2014
Eunice Jepkirui Kirwa,2013,2:23:34,Paris (FRA),07 APR 2013
Eunice Jepkirui Kirwa,2012,2:21:41,Amsterdam (NED),21 OCT 2012
Lishan Dula Gemgchu,2016,2:38:19,Hong Kong (HKG),17 JAN 2016
Lishan Dula Gemgchu,2015,2:34:55,Brighton (GBR),12 APR 2015
Lishan Dula Gemgchu,2014,2:33:10,Dubai (UAE),24 JAN 2014
Lishan Dula Gemgchu,2013,2:38:47,"Luzhniki, Moskva (RUS)",10 AUG 2013
Lishan Dula Gemgchu,2012,2:28:22,Tokyo (JPN),26 FEB 2012
Lishan Dula Gemgchu,2011,2:26:56,Rotterdam (NED),10 APR 2011
Lishan Dula Gemgchu,2010,2:33:56,Guangzhou (CHN),27 NOV 2010
Els Rens,2016,2:45:52,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016
Els Rens,2015,2:38:16,Eindhoven (NED),11 OCT 2015
Els Rens,2013,2:41:19,Eindhoven (NED),13 OCT 2013
Els Rens,2012,2:42:09,Eindhoven (NED),14 OCT 2012
Els Rens,2011,2:47:22,Eindhoven (NED),09 OCT 2011
Els Rens,2010,2:53:34,Eindhoven (NED),10 OCT 2010
Veerle Dejaeghere,2016,2:37:39,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016
Veerle Dejaeghere,2015,2:31:56,Berlin (GER),27 SEP 2015
"Magda Ilands (-Moons, -Versluys)",1989,2:38:03,"Houston, TX (USA)",15 JAN 1989
"Magda Ilands (-Moons, -Versluys)",1988,2:35:36,Huy (BEL),30 APR 1988
"Magda Ilands (-Moons, -Versluys)",1987,2:34:23,Berlin (GER),04 OCT 1987
"Magda Ilands (-Moons, -Versluys)",1986,2:33:53,Berlin (GER),28 SEP 1986
"Magda Ilands (-Moons, -Versluys)",1985,2:34:10,Berlin (GER),29 SEP 1985
"Magda Ilands (-Moons, -Versluys)",1984,2:35:36,Paris (FRA),23 SEP 1984
"Magda Ilands (-Moons, -Versluys)",1983,2:37:51,Antwerpen (BEL),10 SEP 1983
"Magda Ilands (-Moons, -Versluys)",1982,2:38:58,Berchem (BEL),17 SEP 1982
"Magda Ilands (-Moons, -Versluys)",1981,2:37:56,Berchem (BEL),11 SEP 1981
"Magda Ilands (-Moons, -Versluys)",1980,2:41:22,Berchem (BEL),12 SEP 1980
Manuela Soccol,2019,2:40:05,Wien (AUT),07 APR 2019
Manuela Soccol,2017,2:38:03,Hamburg (GER),23 APR 2017
Manuela Soccol,2016,2:37:09,Hamburg (GER),17 APR 2016
Manuela Soccol,2015,2:39:29,Berlin (GER),27 SEP 2015
Sonia Calizaya Huanca,2015,2:47:03,Buenos Aires (ARG),11 OCT 2015
Sonia Calizaya Huanca,2014,2:57:11,La Paz (BOL),16 MAR 2014
Sonia Calizaya Huanca,2008,2:45:53,"National Stadium, Beijing (CHN)",17 AUG 2008
Sonia Calizaya Huanca,2007,2:45:05,Buenos Aires (ARG),04 NOV 2007
Solange Cordeiro de Souza,1996,2:56:23,"Olympic Stadium, Atlanta, GA (USA)",28 JUL 1996
Solange Cordeiro de Souza,1994,2:36:30,"Orlando, FL (USA)",16 JAN 1994
Anglica de Almeida,1992,2:37:40,London (GBR),12 APR 1992
Anglica de Almeida,1988,2:43:40,"Olympic Stadium, Jamsil, Seoul (KOR)",23 SEP 1988
Eleonora Costa Soares de Mendona,1984,2:52:19,"Memorial Coliseum, Los Angeles, CA (USA)",05 AUG 1984
Adriana Aparecida da Silva,2019,2:42:44,Hamburg (GER),28 APR 2019
Adriana Aparecida da Silva,2018,2:41:00,"New York, NY (USA)",04 NOV 2018
Adriana Aparecida da Silva,2017,2:35:44,Hamburg (GER),23 APR 2017
Adriana Aparecida da Silva,2016,2:31:23,Hamburg (GER),17 APR 2016
Adriana Aparecida da Silva,2015,2:35:28,Nagoya (JPN),08 MAR 2015
Adriana Aparecida da Silva,2014,2:38:05,Berlin (GER),28 SEP 2014
Adriana Aparecida da Silva,2013,2:31:44,London (GBR),21 APR 2013
Adriana Aparecida da Silva,2012,2:29:17,Tokyo (JPN),26 FEB 2012
Adriana Aparecida da Silva,2011,2:33:48,Wien (AUT),17 APR 2011
Adriana Aparecida da Silva,2010,2:32:30,Berlin (GER),26 SEP 2010
Adriana Aparecida da Silva,2009,2:40:54,"Olympiastadion, Berlin (GER)",23 AUG 2009
Marily dos Santos,2016,2:45:08,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016
Marily dos Santos,2015,2:37:25,Sevilla (ESP),22 FEB 2015
Marily dos Santos,2014,2:44:18,Porto Alegre (BRA),18 MAY 2014
Marily dos Santos,2013,2:46:07,Rio de Janeiro (BRA),07 JUL 2013
Marily dos Santos,2012,2:31:55,Padova (ITA),22 APR 2012
Marily dos Santos,2011,2:35:31,Frankfurt (GER),30 OCT 2011
Marily dos Santos,2010,2:41:38,Sao Paulo (BRA),02 MAY 2010
Marily dos Santos,2009,2:45:46,Sao Paulo (BRA),31 MAY 2009
Marily dos Santos,2008,2:36:21,Florianópolis (BRA),20 APR 2008
Marily dos Santos,2005,2:49:46,Sao Paolo (BRA),17 APR 2005
Marily dos Santos,2004,2:52:12,Sao Paulo (BRA),02 MAY 2004
Graciete Feira de Santana,2017,2:55:41,Rio de Janeiro (BRA),18 JUN 2017
Graciete Feira de Santana,2016,2:38:33,Sevilla (ESP),21 FEB 2016
Graciete Feira de Santana,2015,2:41:16,Rio de Janeiro (BRA),26 JUL 2015
Graciete Feira de Santana,2013,2:46:47,Porto Alegre (BRA),16 JUN 2013
Graciete Feira de Santana,2012,2:42:21,Rio de Janeiro (BRA),08 JUL 2012
Graciete Feira de Santana,2011,2:51:50,Londrina (BRA),28 AUG 2011
Militsa Mircheva,2016,2:51:06,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016
Militsa Mircheva,2015,2:44:23,Podgorica (MNE),25 OCT 2015
Nary Ly,2016,3:20:20,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016
Nary Ly,2015,2:59:42,Valencia (ESP),15 NOV 2015
Nary Ly,2012,3:05:05,Paris (FRA),15 APR 2012
Nary Ly,2011,3:03:01,Paris (FRA),10 APR 2011
Lanni Marchant,2016,2:33:08,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016
Lanni Marchant,2015,2:28:09,Toronto (CAN),18 OCT 2015
Lanni Marchant,2014,2:31:06,Toronto (CAN),19 OCT 2014
Lanni Marchant,2013,2:28:00,Toronto (CAN),20 OCT 2013
Lanni Marchant,2012,2:31:51,Rotterdam (NED),15 APR 2012
Lanni Marchant,2011,2:44:09,"Chicago, IL (USA)",09 OCT 2011
Odette Lapierre,1992,2:46:18,"Estadio Olímpico, Barcelona (ESP)",01 AUG 1992
Odette Lapierre,1991,2:34:52,St. Paul (USA),06 OCT 1991
Odette Lapierre,1988,2:30:56,"Olympic Stadium, Jamsil, Seoul (KOR)",23 SEP 1988
Odette Lapierre,1987,2:40:20,"Stadio Olimpico, Roma (ITA)",29 AUG 1987
Odette Lapierre,1986,2:31:48,Edinburgh (GBR),01 AUG 1986
Odette Lapierre,1985,2:33:46,Montreal (CAN),22 SEP 1985
Anne Marie Malone (-Macrow),1984,2:33:00,Ottawa (CAN),13 MAY 1984
Anne Marie Malone (-Macrow),1983,2:36:23,"Chicago, IL (USA)",16 OCT 1983
Krista DuChene,2019,2:32:27,Berlin (GER),29 SEP 2019
Krista DuChene,2018,2:36:46,Toronto (CAN),21 OCT 2018
Krista DuChene,2017,2:43:31,London (GBR),23 APR 2017
Krista DuChene,2016,2:34:00,Toronto (CAN),16 OCT 2016
Krista DuChene,2015,2:29:38,Rotterdam (NED),12 APR 2015
Krista DuChene,2013,2:28:32,Toronto (CAN),20 OCT 2013
Krista DuChene,2012,2:32:06,Rotterdam (NED),15 APR 2012
Krista DuChene,2010,2:39:08,Ottawa (CAN),30 MAY 2010
Krista DuChene,2009,2:50:37,Toronto (CAN),27 SEP 2009
rika Alejandra Olivera de la Fuente,2015,2:42:10,Vina del Mar (CHI),04 OCT 2015
rika Alejandra Olivera de la Fuente,2011,2:36:27,Santiago de Chile (CHI),03 APR 2011
rika Alejandra Olivera de la Fuente,2010,2:49:56,Santiago de Chile (CHI),11 APR 2010
rika Alejandra Olivera de la Fuente,2009,2:36:19,Santiago de Chile (CHI),05 APR 2009
rika Alejandra Olivera de la Fuente,2002,2:38:11,Sao Paulo (BRA),14 JUL 2002
Natalia del Carmen Romero Jaramillo,2016,2:47:20,Santiago de Chile (CHI),03 APR 2016
Natalia del Carmen Romero Jaramillo,2015,2:43:02,Berlin (GER),27 SEP 2015
Natalia del Carmen Romero Jaramillo,2014,2:43:36,Berlin (GER),28 SEP 2014
Natalia del Carmen Romero Jaramillo,2012,2:34:55,Santiago de Chile (CHI),01 APR 2012
Natalia del Carmen Romero Jaramillo,2011,2:37:06,Santiago de Chile (CHI),03 APR 2011
Natalia del Carmen Romero Jaramillo,2010,2:40:03,Buenos Aires (ARG),10 OCT 2010
Natalia del Carmen Romero Jaramillo,2009,2:44:24,Santiago de Chile (CHI),05 APR 2009
Natalia del Carmen Romero Jaramillo,2008,2:45:42,Santiago de Chile (CHI),06 APR 2008
Natalia del Carmen Romero Jaramillo,2007,2:50:06,Santiago de Chile (CHI),04 NOV 2007
Natalia del Carmen Romero Jaramillo,2005,2:52:50,Buenos Aires (ARG),10 OCT 2005
Ren Xiujuan,2001,2:24:22,Beijing (CHN),14 OCT 2001
Ren Xiujuan,2000,2:25:32,Jinan (CHN),02 APR 2000
Ren Xiujuan,1999,2:33:58,Nagano (JPN),18 APR 1999
Ren Xiujuan,1997,2:28:52,Beijing (CHN),04 OCT 1997
Ren Xiujuan,1996,2:27:13,Beijing (CHN),20 OCT 1996
Ren Xiujuan,1995,2:30:00,Beijing (CHN),05 OCT 1995
Ren Xiujuan,1994,2:35:59,Dalian (CHN),23 OCT 1994
Li Juan,2001,2:39:42,Beijing (CHN),14 OCT 2001
Li Juan,2000,2:36:54,Beijing (CHN),15 OCT 2000
Li Juan,1991,2:35:15,Osaka (JPN),27 JAN 1991
Li Juan,1989,2:34:50,Beijing (CHN),15 OCT 1989
Li Juan,1988,2:31:44,Tianjin (CHN),03 APR 1988
Li Juan,1987,2:37:35,Hong Kong (HKG),25 JAN 1987
Wang Xueqin,2017,2:44:11,Tianjin (CHN),29 APR 2017
Wang Xueqin,2016,2:35:33,Hefei (CHN),12 NOV 2016
Wang Xueqin,2015,2:28:39,Seoul (KOR),15 MAR 2015
Wang Xueqin,2013,2:34:56,Xiamen (CHN),05 JAN 2013
Wang Xueqin,2012,2:25:53,Chongqing (CHN),18 MAR 2012
Wang Xueqin,2011,2:36:10,"DS, Daegu (KOR)",27 AUG 2011
Wang Xueqin,2010,2:28:17,Seoul (KOR),21 MAR 2010
Wang Xueqin,2009,2:36:00,Daegu (KOR),12 APR 2009
Wang Xueqin,2008,2:28:39,Seoul (KOR),16 MAR 2008
Zhu Xiaolin,2019,2:56:32,Wuxi (CHN),24 MAR 2019
Zhu Xiaolin,2012,2:24:19,Chongqing (CHN),18 MAR 2012
Zhu Xiaolin,2011,2:26:28,London (GBR),17 APR 2011
Zhu Xiaolin,2010,2:26:35,Guangzhou (CHN),27 NOV 2010
Zhu Xiaolin,2009,2:26:08,"Olympiastadion, Berlin (GER)",23 AUG 2009
Zhu Xiaolin,2008,2:27:16,"National Stadium, Beijing (CHN)",17 AUG 2008
Zhu Xiaolin,2007,2:26:08,Xiamen (CHN),31 MAR 2007
Zhu Xiaolin,2006,2:28:27,Xiamen (CHN),25 MAR 2006
Zhu Xiaolin,2005,2:32:27,Beijing (CHN),16 OCT 2005
Zhu Xiaolin,2004,2:41:04,Xiamen (CHN),27 MAR 2004
Zhu Xiaolin,2002,2:23:57,Beijing (CHN),13 OCT 2002
Hua Shaoqing,2017,2:36:38,Tianjin (CHN),29 APR 2017
Hua Shaoqing,2016,2:29:14,Chongqing (CHN),20 MAR 2016
Hua Shaoqing,2015,2:30:58,Hengshui (CHN),26 SEP 2015
Hua Shaoqing,2014,2:48:31,Beijing (CHN),19 OCT 2014
Zhong Huandi,1994,2:29:32,Hiroshima (JPN),09 OCT 1994
Zhong Huandi,1993,2:25:36,Tianjin (CHN),04 APR 1993
Zhong Huandi,1988,2:36:02,"Olympic Stadium, Jamsil, Seoul (KOR)",23 SEP 1988
Zhong Huandi,1987,2:32:13,Tianjin (CHN),29 MAR 1987
Zhang Shujing,2009,2:38:48,Seoul (KOR),14 MAR 2009
Zhang Shujing,2008,2:26:11,Seoul (KOR),16 MAR 2008
Zhang Shujing,2007,2:31:14,Xiamen (CHN),31 MAR 2007
Zhang Shujing,2006,2:30:35,Xiamen (CHN),25 MAR 2006
Zhang Shujing,2005,2:27:41,Beijing (CHN),16 OCT 2005
Zhang Shujing,2004,2:29:53,Xiamen (CHN),27 MAR 2004
Zhang Shujing,2003,2:23:18,Seoul (KOR),16 MAR 2003
Zhang Shujing,2002,2:23:17,Beijing (CHN),13 OCT 2002
Zhang Shujing,2001,2:24:42,Beijing (CHN),14 OCT 2001
Zhang Shujing,2000,2:27:14,Berlin (GER),10 SEP 2000
Zhang Shujing,1999,2:32:19,Beijing (CHN),09 OCT 1999
Zhang Shujing,1998,2:36:07,Tianjin (CHN),11 APR 1998
Zhang Shujing,1997,2:35:36,Beijing (CHN),04 OCT 1997
Zhang Shujing,1996,2:38:13,Beijing (CHN),20 OCT 1996
Zhao Youfeng,1990,2:29:35,London (GBR),22 APR 1990
Zhao Youfeng,1989,2:28:20,Nagoya (JPN),05 MAR 1989
Zhao Youfeng,1988,2:27:06,"Olympic Stadium, Jamsil, Seoul (KOR)",23 SEP 1988
Li Helan,2005,2:49:07,Xiamen (CHN),26 MAR 2005
Li Helan,2004,2:28:17,Xiamen (CHN),27 MAR 2004
Li Helan,2003,2:29:46,"Stade de France, Paris-St-Denis (FRA)",31 AUG 2003
Li Helan,2002,2:26:59,Beijing (CHN),13 OCT 2002
Li Helan,2001,2:31:05,Jinan (CHN),07 APR 2001
Li Helan,2000,2:41:21,Beijing (CHN),15 OCT 2000
Yue Chao,2017,2:46:14,Tianjin (CHN),29 APR 2017
Yue Chao,2016,2:30:25,Chongqing (CHN),20 MAR 2016
Yue Chao,2015,2:29:26,Seoul (KOR),15 MAR 2015
Yue Chao,2014,2:31:10,Hamburg (GER),04 MAY 2014
Yue Chao,2013,2:49:44,"Chicago, IL (USA)",13 OCT 2013
Yue Chao,2012,2:30:18,Beijing (CHN),25 NOV 2012
Yue Chao,2011,2:32:57,"Chicago, IL (USA)",09 OCT 2011
Yue Chao,2010,2:33:38,Dalian (CHN),18 APR 2010
Yue Chao,2009,2:39:58,Hangzhou (CHN),08 NOV 2009
Zhou Chunxiu,2012,2:23:42,Chongqing (CHN),18 MAR 2012
Zhou Chunxiu,2011,2:34:29,London (GBR),17 APR 2011
Zhou Chunxiu,2010,2:25:00,Guangzhou (CHN),27 NOV 2010
Zhou Chunxiu,2009,2:25:39,"Olympiastadion, Berlin (GER)",23 AUG 2009
Zhou Chunxiu,2008,2:27:07,"National Stadium, Beijing (CHN)",17 AUG 2008
Zhou Chunxiu,2007,2:20:38,London (GBR),22 APR 2007
Zhou Chunxiu,2006,2:19:51,Seoul (KOR),12 MAR 2006
Zhou Chunxiu,2005,2:21:11,Beijing (CHN),16 OCT 2005
Zhou Chunxiu,2004,2:23:28,Xiamen (CHN),27 MAR 2004
Zhou Chunxiu,2003,2:23:41,Beijing (CHN),19 OCT 2003
Wang Jiali,2017,2:33:36,Tianjin (CHN),29 APR 2017
Wang Jiali,2015,2:33:39,Hengshui (CHN),26 SEP 2015
Wang Jiali,2012,2:22:41,Chongqing (CHN),18 MAR 2012
Wang Jiali,2011,2:30:25,"DS, Daegu (KOR)",27 AUG 2011
Wang Jiali,2010,2:29:31,Beijing (CHN),24 OCT 2010
Wang Jiali,2009,2:33:58,Xiamen (CHN),03 JAN 2009
Wang Jiali,2008,2:26:01,Zhengzhou (CHN),30 MAR 2008
Wang Jiali,2007,2:39:04,Beijing (CHN),21 OCT 2007
Angie Orjuela Soche,2019,2:32:27,Lima (PER),27 JUL 2019
Angie Orjuela Soche,2018,2:54:18,Medellín (COL),16 SEP 2018
Angie Orjuela Soche,2016,2:35:13,Hamburg (GER),17 APR 2016
Angie Orjuela Soche,2015,2:34:58,Santiago de Chile (CHI),12 APR 2015
Angie Orjuela Soche,2014,2:48:25,Medellín (COL),14 SEP 2014
Angie Orjuela Soche,2012,2:54:10,Santander de Quilichao (COL),17 NOV 2012
Annemette Jensen,2009,2:54:24,"Chicago, IL (USA)",11 OCT 2009
Annemette Jensen,2006,2:41:17,Zürich (SUI),09 APR 2006
Annemette Jensen,2005,2:40:24,Hamburg (GER),24 APR 2005
Annemette Jensen,2004,2:30:07,Zürich (SUI),04 APR 2004
Annemette Jensen,2003,2:31:55,"Stade de France, Paris-St-Denis (FRA)",31 AUG 2003
Annemette Jensen,2002,2:37:27,München (GER),10 AUG 2002
Annemette Jensen,2001,2:33:21,Frankfurt (GER),28 OCT 2001
Annemette Jensen,2000,2:35:33,Praha (CZE),21 MAY 2000
Annemette Jensen,1999,2:36:02,"Chicago, IL (USA)",24 OCT 1999
Annemette Jensen,1998,2:39:23,Amsterdam (NED),01 NOV 1998
Anne Sofie Holm Baumeister (Jrgensen-),2017,2:33:02,Frankfurt (GER),29 OCT 2017
Anne Sofie Holm Baumeister (Jrgensen-),2016,2:39:49,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016
Anne Sofie Holm Baumeister (Jrgensen-),2015,2:34:28,Frankfurt (GER),25 OCT 2015
Anne Sofie Holm Baumeister (Jrgensen-),2014,2:39:13,Frankfurt (GER),26 OCT 2014
"Jessica Margaret Aida ""Jess"" Draskau-Petersson",2018,2:44:11,"Chicago, IL (USA)",07 OCT 2018
"Jessica Margaret Aida ""Jess"" Draskau-Petersson",2017,2:38:31,"Chicago, IL (USA)",08 OCT 2017
"Jessica Margaret Aida ""Jess"" Draskau-Petersson",2016,2:36:14,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016
"Jessica Margaret Aida ""Jess"" Draskau-Petersson",2015,2:30:07,"Chicago, IL (USA)",11 OCT 2015
"Jessica Margaret Aida ""Jess"" Draskau-Petersson",2014,2:30:53,"Letzigrund, Zürich (SUI)",16 AUG 2014
"Jessica Margaret Aida ""Jess"" Draskau-Petersson",2012,2:31:43,"Olympic Stadium, London (GBR)",05 AUG 2012
"Jessica Margaret Aida ""Jess"" Draskau-Petersson",2005,2:42:00,Berlin (GER),25 SEP 2005
"Jessica Margaret Aida ""Jess"" Draskau-Petersson",2003,2:46:10,London (GBR),13 APR 2003
Sandra de las Mercedes Ruales Mosquera,2011,2:48:01,Lima (PER),15 MAY 2011
Sandra de las Mercedes Ruales Mosquera,2010,2:52:19,Panama City (PAN),05 DEC 2010
Sandra de las Mercedes Ruales Mosquera,2009,2:45:25,Guayaquil (ECU),04 OCT 2009
Sandra de las Mercedes Ruales Mosquera,2008,2:35:53,"National Stadium, Beijing (CHN)",17 AUG 2008
Sandra de las Mercedes Ruales Mosquera,2007,2:44:44,Benidorm (ESP),25 NOV 2007
Sandra de las Mercedes Ruales Mosquera,2006,2:37:18,"Miami, FL (USA)",29 JAN 2006
Sandra de las Mercedes Ruales Mosquera,2005,2:37:02,"Miami, FL (USA)",30 JAN 2005
Sandra de las Mercedes Ruales Mosquera,2004,2:44:08,Benidorm (ESP),28 NOV 2004
Sandra de las Mercedes Ruales Mosquera,2003,2:37:46,Madrid (ESP),27 APR 2003
Sandra de las Mercedes Ruales Mosquera,2002,2:43:53,Ibiza (ESP),31 MAR 2002
Sandra de las Mercedes Ruales Mosquera,2001,2:42:11,Benidorm (ESP),25 NOV 2001
Mara Elena Calle Galarza,2016,2:42:19,"Houston, TX (USA)",17 JAN 2016
Mara Elena Calle Galarza,2015,2:44:33,"Chicago, IL (USA)",11 OCT 2015
Mara Elena Calle Galarza,2014,2:43:26,"Chicago, IL (USA)",12 OCT 2014
Silvia Paredes Yucailla,2019,2:40:58,Buenos Aires (ARG),22 SEP 2019
Silvia Paredes Yucailla,2017,2:43:21,Praha (CZE),07 MAY 2017
Silvia Paredes Yucailla,2016,2:42:05,"Houston, TX (USA)",17 JAN 2016
Silvia Paredes Yucailla,2015,2:49:49,Torreón (MEX),01 MAR 2015
Rosa Alba Chacha Chacha,2019,2:32:45,Lima (PER),27 JUL 2019
