athlete,year,performance,place,date
Danilo Goffi,2008,2:18:38,Milano (ITA),23 NOV 2008
Danilo Goffi,2007,2:14:42,Venezia (ITA),28 OCT 2007
Danilo Goffi,2006,2:11:09,Hamburg (GER),23 APR 2006
Danilo Goffi,2005,2:11:13,Torino (ITA),17 APR 2005
Danilo Goffi,2003,2:11:23,Milano (ITA),30 NOV 2003
Danilo Goffi,2002,2:10:50,Torino (ITA),21 APR 2002
Danilo Goffi,2001,2:10:35,Berlin (GER),30 SEP 2001
Danilo Goffi,2000,2:10:54,London (GBR),16 APR 2000
Danilo Goffi,1999,2:14:50,"La Cartuja, Sevilla (ESP)",28 AUG 1999
Danilo Goffi,1998,2:08:33,Rotterdam (NED),19 APR 1998
Danilo Goffi,1997,2:09:13,Rotterdam (NED),20 APR 1997
Danilo Goffi,1996,2:15:08,"Olympic Stadium, Atlanta, GA (USA)",04 AUG 1996
Ottaviano Andriani,2010,2:12:49,Treviso (ITA),14 MAR 2010
Ottaviano Andriani,2008,2:16:10,"National Stadium, Beijing (CHN)",24 AUG 2008
Ottaviano Andriani,2007,2:10:57,Trieste (ITA),06 MAY 2007
Ottaviano Andriani,2006,2:10:51,Paris (FRA),09 APR 2006
Ottaviano Andriani,2005,2:16:29,"Olympic Stadium, Helsinki (FIN)",13 AUG 2005
Ottaviano Andriani,2003,2:11:54,Torino (ITA),13 APR 2003
Ottaviano Andriani,2002,2:17:41,München (GER),11 AUG 2002
Ottaviano Andriani,2001,2:09:07,Milano (ITA),02 DEC 2001
Ottaviano Andriani,1999,2:11:42,Venezia (ITA),24 OCT 1999
Ottaviano Andriani,1998,2:16:28,"Népstadion, Budapest (HUN)",22 AUG 1998
Ottaviano Andriani,1997,2:14:27,Firenze (ITA),30 NOV 1997
Ottaviano Andriani,1996,2:15:01,Venezia (ITA),27 OCT 1996
Alberico Di Cecco,2013,2:28:40,"Miami, FL (USA)",27 JAN 2013
Alberico Di Cecco,2012,2:25:29,Russi (ITA),01 APR 2012
Alberico Di Cecco,2007,2:13:52,Firenze (ITA),25 NOV 2007
Alberico Di Cecco,2006,2:19:57,Piacenza (ITA),05 MAR 2006
Alberico Di Cecco,2005,2:22:21,Ragusa (ITA),23 JAN 2005
Alberico Di Cecco,2004,2:09:29,Torino (ITA),18 APR 2004
Alberico Di Cecco,2003,2:08:53,Roma (ITA),23 MAR 2003
Alberico Di Cecco,2002,2:10:27,Torino (ITA),21 APR 2002
Alberico Di Cecco,2001,2:12:45,Roma (ITA),25 MAR 2001
Alberico Di Cecco,2000,2:13:33,Carpi (ITA),15 OCT 2000
Alberico Di Cecco,1999,2:14:48,Cesano Boscone (ITA),17 OCT 1999
Alberico Di Cecco,1998,2:16:55,Ferrara (ITA),01 MAR 1998
Alberico Di Cecco,1997,2:16:24,Torino (ITA),11 MAY 1997
Renato Martini,1972,2:22:42,"Olympiastadion, München (GER)",10 SEP 1972
Nils Antonio,1996,2:44:10,"Olympic Stadium, Atlanta, GA (USA)",04 AUG 1996
Derrick Adamson,1988,2:47:57,"Olympic Stadium, Jamsil, Seoul (KOR)",02 OCT 1988
Derrick Adamson,1985,2:18:27,"Philadelphia, PA (USA)",24 NOV 1985
Derrick Adamson,1984,2:16:39,"Philadelphia, PA (USA)",25 NOV 1984
Kazumi Watanabe,1960,2:29:45,"Stadio Olimpico, Roma (ITA)",10 SEP 1960
Arata Fujiwara,2017,2:16:32,Toyama (JPN),29 OCT 2017
Arata Fujiwara,2016,2:20:23,Tokyo (JPN),28 FEB 2016
Arata Fujiwara,2015,2:11:50,Hofu (JPN),20 DEC 2015
Arata Fujiwara,2014,2:25:11,Gold Coast (AUS),06 JUL 2014
Arata Fujiwara,2012,2:07:48,Tokyo (JPN),26 FEB 2012
Arata Fujiwara,2011,2:29:21,Tokyo (JPN),27 FEB 2011
Arata Fujiwara,2010,2:09:34,Ottawa (CAN),30 MAY 2010
Arata Fujiwara,2009,2:31:06,"Olympiastadion, Berlin (GER)",22 AUG 2009
Arata Fujiwara,2008,2:08:40,Tokyo (JPN),17 FEB 2008
Toru Terasawa,1965,2:13:41,Chiswick (GBR),12 JUN 1965
Toru Terasawa,1964,2:23:09,"National Stadium, Tokyo (JPN)",21 OCT 1964
Masaki Oya,1998,2:11:50,Fukuoka (JPN),06 DEC 1998
Masaki Oya,1997,2:09:11,Rotterdam (NED),20 APR 1997
Masaki Oya,1996,2:22:13,"Olympic Stadium, Atlanta, GA (USA)",04 AUG 1996
Masaki Oya,1995,2:09:33,Fukuoka (JPN),03 DEC 1995
Kenji Kimihara,1972,2:16:27,"Olympiastadion, München (GER)",10 SEP 1972
Kenji Kimihara,1969,2:13:26,Athina (GRE),06 APR 1969
Kenji Kimihara,1968,2:23:31,"Estadio Olímpico, Ciudad de México (MEX)",20 OCT 1968
Kenji Kimihara,1964,2:19:49,"National Stadium, Tokyo (JPN)",21 OCT 1964
Nobuyoshi Sadanaga,1960,2:35:11,"Stadio Olimpico, Roma (ITA)",10 SEP 1960
Kurao Hiroshima,1960,2:29:40,"Stadio Olimpico, Roma (ITA)",10 SEP 1960
Kurao Hiroshima,1956,3:04:17,"Cricket Ground, Melbourne (AUS)",01 DEC 1956
Hisanori Kitajima,2019,2:17:10,Fukuoka (JPN),01 DEC 2019
Hisanori Kitajima,2016,2:09:16,Otsu (JPN),06 MAR 2016
Hisanori Kitajima,2015,2:12:28,Nobeoka (JPN),08 FEB 2015
Kokichi Tsuburaya,1964,2:16:23,"National Stadium, Tokyo (JPN)",21 OCT 1964
Satoru Sasaki,2020,2:10:25,Oita (JPN),02 FEB 2020
Satoru Sasaki,2019,2:11:02,Sydney (AUS),15 SEP 2019
Satoru Sasaki,2018,2:11:40,Fukuoka (JPN),02 DEC 2018
Satoru Sasaki,2017,2:10:10,Otsu (JPN),05 MAR 2017
Satoru Sasaki,2016,2:13:57,"Estádio Olímpico, Rio de Janeiro (BRA)",21 AUG 2016
Satoru Sasaki,2015,2:08:56,Fukuoka (JPN),06 DEC 2015
Satoru Sasaki,2014,2:09:47,Otsu (JPN),02 MAR 2014
Satoru Sasaki,2013,2:11:28,Tokyo (JPN),24 FEB 2013
Satoru Sasaki,2011,2:12:42,Otsu (JPN),06 MAR 2011
Satoru Sasaki,2010,2:19:23,Beppu (JPN),07 FEB 2010
Satoru Sasaki,2009,2:14:00,Otsu (JPN),01 MAR 2009
Tomoaki Kunichika,2010,2:18:03,Tokyo (JPN),28 FEB 2010
Tomoaki Kunichika,2009,2:14:38,Hofu (JPN),20 DEC 2009
Tomoaki Kunichika,2005,2:11:32,Seoul (KOR),13 MAR 2005
Tomoaki Kunichika,2004,2:21:13,"Olympic Stadium, Athina (GRE)",29 AUG 2004
Tomoaki Kunichika,2003,2:07:52,Fukuoka (JPN),07 DEC 2003
Tomoaki Kunichika,2002,2:15:59,Fukuoka (JPN),01 DEC 2002
Tomoaki Kunichika,1999,2:10:10,Fukuoka (JPN),05 DEC 1999
Tomoaki Kunichika,1998,2:11:28,Tokyo (JPN),08 FEB 1998
Tsuyoshi Ogata,2012,2:17:53,Matsuyama (JPN),05 FEB 2012
Tsuyoshi Ogata,2008,2:13:26,"National Stadium, Beijing (CHN)",24 AUG 2008
Tsuyoshi Ogata,2007,2:17:42,"Nagai Stadium, Osaka (JPN)",25 AUG 2007
Tsuyoshi Ogata,2006,2:10:48,Fukuoka (JPN),03 DEC 2006
Tsuyoshi Ogata,2005,2:11:16,"Olympic Stadium, Helsinki (FIN)",13 AUG 2005
Tsuyoshi Ogata,2004,2:09:10,Fukuoka (JPN),05 DEC 2004
Tsuyoshi Ogata,2003,2:08:37,Fukuoka (JPN),07 DEC 2003
Tsuyoshi Ogata,2002,2:09:15,Fukuoka (JPN),01 DEC 2002
Tsuyoshi Ogata,2001,2:10:06,Berlin (GER),30 SEP 2001
Tsuyoshi Ogata,2000,2:11:43,Rotterdam (NED),16 APR 2000
Tsuyoshi Ogata,1999,2:15:22,Fukuoka (JPN),05 DEC 1999
Kenjiro Jitsui,2008,2:12:48,Berlin (GER),28 SEP 2008
Kenjiro Jitsui,2007,2:14:08,Otsu (JPN),04 MAR 2007
Kenjiro Jitsui,2004,2:16:21,Otsu (JPN),07 MAR 2004
Kenjiro Jitsui,1998,2:12:46,London (GBR),26 APR 1998
Kenjiro Jitsui,1996,2:08:50,Tokyo (JPN),12 FEB 1996
Kenjiro Jitsui,1995,2:11:27,Otsu (JPN),19 MAR 1995
Kenjiro Jitsui,1994,2:11:10,Tokyo (JPN),13 FEB 1994
Kenjiro Jitsui,1991,2:13:27,Otsu (JPN),10 MAR 1991
Hiromi Taniguchi,2000,2:18:28,Seoul (KOR),19 MAR 2000
Hiromi Taniguchi,1998,2:17:12,"San Diego, CA (USA)",21 JUN 1998
Hiromi Taniguchi,1997,2:11:26,Tokyo (JPN),09 FEB 1997
Hiromi Taniguchi,1996,2:17:26,"Olympic Stadium, Atlanta, GA (USA)",04 AUG 1996
Hiromi Taniguchi,1995,2:10:42,Fukuoka (JPN),03 DEC 1995
Hiromi Taniguchi,1994,2:10:46,Rotterdam (NED),17 APR 1994
Hiromi Taniguchi,1992,2:14:42,"Estadio Olímpico, Barcelona (ESP)",09 AUG 1992
Hiromi Taniguchi,1991,2:11:55,Tokyo (JPN),10 FEB 1991
Hiromi Taniguchi,1990,2:10:56,Rotterdam (NED),22 APR 1990
Hiromi Taniguchi,1989,2:09:34,Tokyo (JPN),19 MAR 1989
Hiromi Taniguchi,1988,2:07:40,Beijing (CHN),16 OCT 1988
Hiromi Taniguchi,1987,2:09:50,London (GBR),10 MAY 1987
Hiromi Taniguchi,1986,2:10:08,Seoul (KOR),05 OCT 1986
Hiromi Taniguchi,1985,2:10:01,Fukuoka (JPN),01 DEC 1985
Hiromi Taniguchi,1984,2:10:08,Seoul (KOR),05 OCT 1984
Toshinari Suwa,2011,2:19:13,Fukuoka (JPN),04 DEC 2011
Toshinari Suwa,2010,2:13:16,Beppu (JPN),07 FEB 2010
Toshinari Suwa,2009,2:17:04,Sapporo (JPN),30 AUG 2009
Toshinari Suwa,2008,2:09:16,Tokyo (JPN),17 FEB 2008
Toshinari Suwa,2007,2:18:35,"Nagai Stadium, Osaka (JPN)",25 AUG 2007
Toshinari Suwa,2006,2:08:52,Fukuoka (JPN),03 DEC 2006
Toshinari Suwa,2005,2:10:23,London (GBR),17 APR 2005
Toshinari Suwa,2004,2:13:24,"Olympic Stadium, Athina (GRE)",29 AUG 2004
Toshinari Suwa,2003,2:07:55,Fukuoka (JPN),07 DEC 2003
Toshinari Suwa,2002,2:09:10,Otsu (JPN),03 MAR 2002
Toshinari Suwa,2001,2:16:18,Nagano (JPN),15 APR 2001
Suehiro Ishikawa,2018,2:16:39,Praha (CZE),06 MAY 2018
Suehiro Ishikawa,2017,2:11:05,Otsu (JPN),05 MAR 2017
Suehiro Ishikawa,2016,2:09:25,Otsu (JPN),06 MAR 2016
Suehiro Ishikawa,2014,2:09:29,Tokyo (JPN),23 FEB 2014
Suehiro Ishikawa,2013,2:09:10,Otsu (JPN),03 MAR 2013
Suehiro Ishikawa,2012,2:11:13,Otsu (JPN),04 MAR 2012
Akio Usami,1976,2:22:30,"Olympic Stadium, Montreal (CAN)",31 JUL 1976
Akio Usami,1975,2:18:54,Fukuoka (JPN),07 DEC 1975
Akio Usami,1972,2:18:58,"Olympiastadion, München (GER)",10 SEP 1972
Akio Usami,1970,2:10:38,Fukuoka (JPN),06 DEC 1970
Akio Usami,1968,2:28:07,"Estadio Olímpico, Ciudad de México (MEX)",20 OCT 1968
Atsushi Sato,2013,2:33:00,Fukuoka (JPN),01 DEC 2013
Atsushi Sato,2012,2:16:26,Osaka (JPN),25 NOV 2012
Atsushi Sato,2010,2:12:35,Tokyo (JPN),28 FEB 2010
Atsushi Sato,2009,2:09:16,London (GBR),26 APR 2009
Atsushi Sato,2008,2:23:50,Beijing (CHN),20 APR 2008
Atsushi Sato,2007,2:07:13,Fukuoka (JPN),02 DEC 2007
Atsushi Sato,2005,2:19:44,"Chicago, IL (USA)",09 OCT 2005
Atsushi Sato,2004,2:08:36,Otsu (JPN),07 MAR 2004
Atsushi Sato,2003,2:08:50,Otsu (JPN),02 MAR 2003
Atsushi Sato,2001,2:14:41,Fukuoka (JPN),02 DEC 2001
Atsushi Sato,2000,2:09:50,Otsu (JPN),05 MAR 2000
Ryo Yamamoto,2016,2:17:08,Sapporo (JPN),28 AUG 2016
Ryo Yamamoto,2015,2:12:46,Tokyo (JPN),22 FEB 2015
Ryo Yamamoto,2014,2:10:59,Wien (AUT),13 APR 2014
Ryo Yamamoto,2013,2:09:06,Otsu (JPN),03 MAR 2013
Ryo Yamamoto,2012,2:08:44,Otsu (JPN),04 MAR 2012
Ryo Yamamoto,2010,2:22:32,Tokyo (JPN),28 FEB 2010
Ryo Yamamoto,2009,2:12:10,Sapporo (JPN),30 AUG 2009
Toshihiko Seko,1988,2:12:41,Otsu (JPN),13 MAR 1988
Toshihiko Seko,1986,2:08:27,"Chicago, IL (USA)",26 OCT 1986
Toshihiko Seko,1984,2:14:13,"Memorial Coliseum, Los Angeles, CA (USA)",12 AUG 1984
Toshihiko Seko,1983,2:08:38,Tokyo (JPN),13 FEB 1983
Toshihiko Seko,1980,2:09:45,Fukuoka (JPN),07 DEC 1980
Toshihiko Seko,1979,2:10:12,"Boston, MA (USA)",16 APR 1979
Toshihiko Seko,1978,2:10:21,Fukuoka (JPN),03 DEC 1978
Shigeru So,1989,2:12:49,Beppu (JPN),05 FEB 1989
Shigeru So,1985,2:10:23,Beijing (CHN),13 OCT 1985
Shigeru So,1984,2:14:38,"Memorial Coliseum, Los Angeles, CA (USA)",12 AUG 1984
Shigeru So,1983,2:09:11,Fukuoka (JPN),04 DEC 1983
Shigeru So,1981,2:10:19,Fukuoka (JPN),06 DEC 1981
Shigeru So,1980,2:10:23,Fukuoka (JPN),07 DEC 1980
Shigeru So,1978,2:09:06,Oita (JPN),05 FEB 1978
Shigeru So,1976,2:14:59,Fukuoka (JPN),05 DEC 1976
Shigeru So,1975,2:15:50,Fukuoka (JPN),07 DEC 1975
Nobuyuki Sato,2005,2:16:18,Tokyo (JPN),13 FEB 2005
Nobuyuki Sato,2004,2:17:37,Otsu (JPN),07 MAR 2004
Nobuyuki Sato,2001,2:10:32,Beijing (CHN),14 OCT 2001
Nobuyuki Sato,2000,2:20:52,"Olympic Stadium, Sydney (AUS)",01 OCT 2000
Nobuyuki Sato,1999,2:14:07,"La Cartuja, Sevilla (ESP)",28 AUG 1999
Nobuyuki Sato,1998,2:08:48,Fukuoka (JPN),06 DEC 1998
Nobuyuki Sato,1997,2:12:28,Otsu (JPN),02 MAR 1997
Shinji Kawashima,2005,2:18:14,Nobeoka (JPN),20 FEB 2005
Shinji Kawashima,2004,2:17:18,Sapporo (JPN),29 AUG 2004
Shinji Kawashima,2001,2:10:36,Beppu (JPN),04 FEB 2001
Shinji Kawashima,2000,2:09:04,Otsu (JPN),05 MAR 2000
Shinji Kawashima,1999,2:13:38,Nagano (JPN),18 APR 1999
Shinji Kawashima,1998,2:10:07,"Chicago, IL (USA)",11 OCT 1998
Shinji Kawashima,1997,2:11:13,Tokyo (JPN),09 FEB 1997
Shinji Kawashima,1996,2:10:41,Tokyo (JPN),12 FEB 1996
Shinji Kawashima,1995,2:12:17,Tokyo (JPN),12 FEB 1995
Shinji Kawashima,1994,2:11:53,Hiroshima (JPN),06 MAR 1994
Shinji Kawashima,1993,2:10:41,Fukuoka (JPN),05 DEC 1993
Shinji Kawashima,1992,2:14:22,Otsu (JPN),15 MAR 1992
Shinji Kawashima,1991,2:14:01,Brisbane (AUS),21 JUL 1991
Shigeru Aburaya,2011,2:19:05,Oita (JPN),06 FEB 2011
Shigeru Aburaya,2010,2:18:05,Tokyo (JPN),28 FEB 2010
Shigeru Aburaya,2008,2:13:48,Fukuoka (JPN),07 DEC 2008
Shigeru Aburaya,2007,2:10:30,Fukuoka (JPN),02 DEC 2007
Shigeru Aburaya,2006,2:14:49,London (GBR),23 APR 2006
Shigeru Aburaya,2004,2:13:11,"Olympic Stadium, Athina (GRE)",29 AUG 2004
Shigeru Aburaya,2003,2:09:26,"Stade de France, Paris-St-Denis (FRA)",30 AUG 2003
Shigeru Aburaya,2001,2:07:52,Otsu (JPN),04 MAR 2001
Shigeru Aburaya,2000,2:10:48,Otsu (JPN),05 MAR 2000
Takeyuki Nakayama,1994,2:13:11,Paris (FRA),24 APR 1994
Takeyuki Nakayama,1992,2:10:25,Tokyo (JPN),09 FEB 1992
Takeyuki Nakayama,1991,2:09:12,Oita (JPN),03 FEB 1991
Takeyuki Nakayama,1990,2:10:57,Tokyo (JPN),12 FEB 1990
Takeyuki Nakayama,1989,2:15:01,München (GER),23 APR 1989
Takeyuki Nakayama,1988,2:11:05,"Olympic Stadium, Jamsil, Seoul (KOR)",02 OCT 1988
Takeyuki Nakayama,1987,2:08:18,Fukuoka (JPN),06 DEC 1987
Takeyuki Nakayama,1986,2:08:21,Seoul (KOR),05 OCT 1986
Takeyuki Nakayama,1985,2:08:15,Hiroshima (JPN),14 APR 1985
Takeyuki Nakayama,1984,2:10:00,Fukuoka (JPN),02 DEC 1984
Takeyuki Nakayama,1983,2:14:15,Fukuoka (JPN),04 DEC 1983
Hisatoshi (Masanari-) Shintaku,1990,2:12:49,Berlin (GER),30 SEP 1990
Hisatoshi (Masanari-) Shintaku,1988,2:15:42,"Olympic Stadium, Jamsil, Seoul (KOR)",02 OCT 1988
Hisatoshi (Masanari-) Shintaku,1987,2:10:34,Fukuoka (JPN),06 DEC 1987
Hisatoshi (Masanari-) Shintaku,1985,2:12:23,Tokyo (JPN),10 FEB 1985
Kentaro Nakamoto,2019,2:11:34,Kraków (POL),28 APR 2019
Kentaro Nakamoto,2018,2:12:54,Sapporo (JPN),26 AUG 2018
Kentaro Nakamoto,2017,2:09:32,Oita (JPN),05 FEB 2017
Kentaro Nakamoto,2016,2:12:06,Otsu (JPN),06 MAR 2016
Kentaro Nakamoto,2014,2:11:58,Fukuoka (JPN),07 DEC 2014
Kentaro Nakamoto,2013,2:08:35,Oita (JPN),03 FEB 2013
Kentaro Nakamoto,2012,2:08:53,Otsu (JPN),04 MAR 2012
Kentaro Nakamoto,2011,2:09:31,Otsu (JPN),06 MAR 2011
Kentaro Nakamoto,2010,2:11:42,Beppu (JPN),07 FEB 2010
Kentaro Nakamoto,2009,2:13:53,Tokyo (JPN),22 MAR 2009
Kentaro Nakamoto,2008,2:13:54,Nobeoka (JPN),24 FEB 2008
Koichi Morishita,1992,2:10:19,Tokyo (JPN),09 FEB 1992
Koichi Morishita,1991,2:08:53,Oita (JPN),03 FEB 1991
Noriyasu Mizukami,1976,2:18:05,Fukuoka (JPN),05 DEC 1976
Noriyasu Mizukami,1975,2:17:08,Fukuoka (JPN),07 DEC 1975
Noriyasu Mizukami,1974,2:14:21,Oita (JPN),03 FEB 1974
Takeshi So,1991,2:12:37,Tokyo (JPN),10 FEB 1991
Takeshi So,1990,2:13:58,Otsu (JPN),11 MAR 1990
Takeshi So,1989,2:12:53,Milano (ITA),16 APR 1989
Takeshi So,1988,2:10:40,Beijing (CHN),16 OCT 1988
Takeshi So,1985,2:10:23,Beijing (CHN),13 OCT 1985
Takeshi So,1984,2:10:55,"Memorial Coliseum, Los Angeles, CA (USA)",12 AUG 1984
Takeshi So,1983,2:08:55,Tokyo (JPN),13 FEB 1983
Takeshi So,1981,2:11:29,Fukuoka (JPN),06 DEC 1981
Takeshi So,1980,2:09:49,Fukuoka (JPN),07 DEC 1980
Takeshi So,1975,2:12:52,Fukuoka (JPN),07 DEC 1975
Ismael Mahmoud Ghassab,1984,2:33:30,"Memorial Coliseum, Los Angeles, CA (USA)",03 AUG 1984
Methkal Marouf Abu Drais,2020,2:28:57,Marrakesh (MAR),26 JAN 2020
Methkal Marouf Abu Drais,2016,2:28:15,Torino (ITA),02 OCT 2016
Methkal Marouf Abu Drais,2015,2:17:24,Marrakesh (MAR),25 JAN 2015
Methkal Marouf Abu Drais,2014,2:18:23,Marrakesh (MAR),26 JAN 2014
Methkal Marouf Abu Drais,2013,2:19:48,Marrakesh (MAR),27 JAN 2013
Methkal Marouf Abu Drais,2012,2:19:16,Stockholm (SWE),03 JUN 2012
Methkal Marouf Abu Drais,2009,2:27:18,Amman (JOR),17 OCT 2009
Takhir Mamashayev,2008,2:30:26,"National Stadium, Beijing (CHN)",24 AUG 2008
Takhir Mamashayev,2006,2:15:58,Beijing (CHN),15 OCT 2006
Takhir Mamashayev,2005,2:20:10,Kraków (POL),07 MAY 2005
Takhir Mamashayev,2004,2:19:01,Paris (FRA),04 APR 2004
Takhir Mamashayev,2003,2:15:20,Berlin (GER),28 SEP 2003
Joseph Nzau,1985,2:15:24,"Columbus, OH (USA)",13 OCT 1985
Joseph Nzau,1984,2:10:40,"Los Angeles, CA (USA)",19 FEB 1984
Joseph Nzau,1983,2:09:45,"Chicago, IL (USA)",16 OCT 1983
Joseph Nzau,1982,2:11:40,"Chicago, IL (USA)",26 SEP 1982
Douglas Wakiihuri Maina,1999,2:18:59,"Honolulu, HI (USA)",12 DEC 1999
Douglas Wakiihuri Maina,1995,2:12:01,Athina (GRE),09 APR 1995
Douglas Wakiihuri Maina,1992,2:19:38,"Estadio Olímpico, Barcelona (ESP)",09 AUG 1992
Douglas Wakiihuri Maina,1990,2:10:27,Auckland (NZL),30 JAN 1990
Douglas Wakiihuri Maina,1989,2:09:03,London (GBR),23 APR 1989
Douglas Wakiihuri Maina,1988,2:10:47,"Olympic Stadium, Jamsil, Seoul (KOR)",02 OCT 1988
Douglas Wakiihuri Maina,1987,2:11:48,"Stadio Olimpico, Roma (ITA)",06 SEP 1987
Abel Kirui,2018,2:07:07,London (GBR),22 APR 2018
Abel Kirui,2017,2:07:45,London (GBR),23 APR 2017
Abel Kirui,2016,2:08:06,Tokyo (JPN),28 FEB 2016
Abel Kirui,2015,2:10:55,Amsterdam (NED),18 OCT 2015
Abel Kirui,2014,2:09:04,Tokyo (JPN),23 FEB 2014
Abel Kirui,2012,2:07:56,London (GBR),22 APR 2012
Abel Kirui,2011,2:07:38,"DS, Daegu (KOR)",04 SEP 2011
Abel Kirui,2010,2:08:04,London (GBR),25 APR 2010
Abel Kirui,2009,2:05:04,Rotterdam (NED),05 APR 2009
Abel Kirui,2008,2:07:38,Wien (AUT),27 APR 2008
Abel Kirui,2007,2:06:51,Berlin (GER),30 SEP 2007
Abel Kirui,2006,2:15:22,Singapore (SGP),03 DEC 2006
Ibrahim Kipkemboi Hussein,1992,2:19:49,"Estadio Olímpico, Barcelona (ESP)",09 AUG 1992
Ibrahim Kipkemboi Hussein,1990,2:13:20,Auckland (NZL),30 JAN 1990
Ibrahim Kipkemboi Hussein,1989,2:14:02,"Honolulu, HI (USA)",10 DEC 1989
Ibrahim Kipkemboi Hussein,1987,2:11:01,"New York, NY (USA)",01 NOV 1987
Ibrahim Kipkemboi Hussein,1986,2:11:44,"Honolulu, HI (USA)",07 DEC 1986
Ibrahim Kipkemboi Hussein,1985,2:12:08,"Honolulu, HI (USA)",08 DEC 1985
Erick Wainaina,2013,2:28:47,Vancouver (CAN),05 MAY 2013
Erick Wainaina,2011,2:28:59,Tokyo (JPN),27 FEB 2011
Erick Wainaina,2010,2:19:14,Nagano (JPN),18 APR 2010
Erick Wainaina,2009,2:18:19,Tokyo (JPN),22 MAR 2009
Erick Wainaina,2008,2:18:18,Nagano (JPN),20 APR 2008
Erick Wainaina,2006,2:16:08,"Honolulu, HI (USA)",10 DEC 2006
Erick Wainaina,2005,2:15:18,Fukuoka (JPN),04 DEC 2005
Erick Wainaina,2004,2:11:03,Tokyo (JPN),08 FEB 2004
Erick Wainaina,2003,2:12:00,Nagano (JPN),20 APR 2003
Erick Wainaina,2002,2:08:43,Tokyo (JPN),10 FEB 2002
Erick Wainaina,2001,2:13:38,Tokyo (JPN),18 FEB 2001
Erick Wainaina,2000,2:10:17,Nagano (JPN),09 APR 2000
Erick Wainaina,1997,2:13:45,Sapporo (JPN),31 AUG 1997
Erick Wainaina,1996,2:10:37,Otsu (JPN),03 MAR 1996
Erick Wainaina,1995,2:10:31,Tokyo (JPN),12 FEB 1995
Erick Wainaina,1994,2:15:03,Sapporo (JPN),28 AUG 1994
Paul Mose,1968,2:55:17,"Estadio Olímpico, Ciudad de México (MEX)",20 OCT 1968
Emmanuel Kipchirchir Mutai,2019,2:23:54,Nice (FRA),03 NOV 2019
Emmanuel Kipchirchir Mutai,2018,2:11:57,Hamburg (GER),29 APR 2018
Emmanuel Kipchirchir Mutai,2017,2:10:14,Valencia (ESP),19 NOV 2017
Emmanuel Kipchirchir Mutai,2016,2:10:23,Tokyo (JPN),28 FEB 2016
Emmanuel Kipchirchir Mutai,2015,2:07:46,Berlin (GER),27 SEP 2015
Emmanuel Kipchirchir Mutai,2014,2:03:13,Berlin (GER),28 SEP 2014
Emmanuel Kipchirchir Mutai,2013,2:03:52,"Chicago, IL (USA)",13 OCT 2013
Emmanuel Kipchirchir Mutai,2012,2:08:01,London (GBR),22 APR 2012
Emmanuel Kipchirchir Mutai,2011,2:04:40,London (GBR),17 APR 2011
Emmanuel Kipchirchir Mutai,2010,2:06:23,London (GBR),25 APR 2010
Emmanuel Kipchirchir Mutai,2009,2:06:53,London (GBR),26 APR 2009
Emmanuel Kipchirchir Mutai,2008,2:06:15,London (GBR),13 APR 2008
Emmanuel Kipchirchir Mutai,2007,2:06:29,Amsterdam (NED),21 OCT 2007
Paul Kibii Tergat,2009,2:10:22,Otsu (JPN),01 MAR 2009
Paul Kibii Tergat,2007,2:08:06,London (GBR),22 APR 2007
Paul Kibii Tergat,2005,2:11:38,London (GBR),17 APR 2005
Paul Kibii Tergat,2004,2:14:45,"Olympic Stadium, Athina (GRE)",29 AUG 2004
Paul Kibii Tergat,2003,2:04:55,Berlin (GER),28 SEP 2003
Paul Kibii Tergat,2002,2:05:48,London (GBR),14 APR 2002
Paul Kibii Tergat,2001,2:08:15,London (GBR),22 APR 2001
Eliud Kipchoge,2019,2:02:37,London (GBR),28 APR 2019
Eliud Kipchoge,2018,2:01:39,Berlin (GER),16 SEP 2018
Eliud Kipchoge,2017,2:03:32,Berlin (GER),24 SEP 2017
Eliud Kipchoge,2016,2:03:05,London (GBR),24 APR 2016
Eliud Kipchoge,2015,2:04:00,Berlin (GER),27 SEP 2015
Eliud Kipchoge,2014,2:04:11,"Chicago, IL (USA)",12 OCT 2014
Eliud Kipchoge,2013,2:04:05,Berlin (GER),29 SEP 2013
Wilson Kipsang Kiprotich,2019,2:09:18,London (GBR),28 APR 2019
Wilson Kipsang Kiprotich,2018,2:06:48,Berlin (GER),16 SEP 2018
Wilson Kipsang Kiprotich,2017,2:03:58,Tokyo (JPN),26 FEB 2017
Wilson Kipsang Kiprotich,2016,2:03:13,Berlin (GER),25 SEP 2016
Wilson Kipsang Kiprotich,2015,2:04:47,London (GBR),26 APR 2015
Wilson Kipsang Kiprotich,2014,2:04:29,London (GBR),13 APR 2014
Wilson Kipsang Kiprotich,2013,2:03:23,Berlin (GER),29 SEP 2013
Wilson Kipsang Kiprotich,2012,2:04:44,London (GBR),22 APR 2012
Wilson Kipsang Kiprotich,2011,2:03:42,Frankfurt (GER),30 OCT 2011
Wilson Kipsang Kiprotich,2010,2:04:57,Frankfurt (GER),31 OCT 2010
Lameck Aguta Orero,2004,2:34:07,"Dallas, TX (USA)",12 DEC 2004
Lameck Aguta Orero,2001,2:24:14,Praha (CZE),20 MAY 2001
Lameck Aguta Orero,1996,2:22:04,"Olympic Stadium, Atlanta, GA (USA)",04 AUG 1996
Lameck Aguta Orero,1994,2:10:41,Berlin (GER),25 SEP 1994
